id,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,y
1433,1.051214637,0.694596578,-1.413286647,-1.252364892,-0.615017284,0.359626877,-0.598667226,-0.253473642,-0.778702133,1.268325268,0.386139259,-1.177270913,0.818530583,1.627669827,-0.287623743,54.76928798
1844,-0.827997421,0.398668674,0.977278218,-2.670552708,-0.790851512,-0.159811436,-1.589068491,-0.61725925,-0.185954902,-0.84183623,-0.175193011,-1.828499871,1.94203906,-0.062610651,0.928271843,-47.36430918
2433,-0.155384698,2.087505412,-0.146546874,0.964400886,0.364766869,-0.054967913,0.031525214,-0.325106606,-0.806470271,0.533958308,-0.392404023,2.430793577,0.484961872,-0.064192486,1.25037412,486.1375003
736,2.800855479,-2.293238176,-1.845457186,-2.45694588,1.17217828,1.031116534,2.69659238,-0.488771574,0.119387309,0.885784024,0.965804015,-1.470270217,0.47283838,-0.121237191,0.097107366,-135.6032601
4588,-0.727326096,-0.661077709,-1.424625094,-0.257360216,0.30034286,-1.341089323,0.214862691,0.847743508,0.867809828,-0.227972287,-0.152050546,0.432508819,0.999426536,1.670572955,-1.498391174,-189.3669691
1283,0.47573524,-0.818170855,-1.028597112,0.49058333,-0.835080114,-1.510156746,-0.28929953,1.156805355,-0.499544023,-1.078859811,-1.119045293,-1.041740461,-1.681873359,-0.386098325,0.38791438,-625.4882625
4212,1.572182363,1.031047682,-0.515947908,-1.02926747,0.471742448,-0.71143058,-0.416787644,-0.215615199,0.155333729,-0.200193366,-0.097673147,-0.832442276,-1.752826419,0.507362712,-0.373975478,-181.7145175
2691,-1.117463256,0.95356115,0.754582377,-0.836567248,1.665995912,-0.125299273,-0.165824849,-0.23914445,-0.706691354,2.021755659,-0.145232472,-1.395153782,0.172323684,-0.290966813,0.470638374,139.3466384
3237,-0.851383682,0.494264014,1.353950745,-0.151488763,-0.523512649,-0.075424564,-0.630139733,-1.276071517,-0.219044861,1.996002179,0.665440671,0.050532767,-0.790473216,-0.094916547,-0.691476302,140.7354383
2031,-1.146205229,-0.15036207,-1.340710938,1.344445569,-0.321838179,0.16451442,0.364683672,0.381357291,1.50343074,-0.618775236,1.593709904,0.916971458,-0.287740301,2.396172283,0.439824011,-28.39761166
1587,0.260222631,0.130876287,0.800498831,0.853681165,0.258648355,-0.037507125,-0.364733908,-0.846208846,-0.318507962,0.23858036,-1.349423364,-1.777800825,-0.253335391,-0.12665363,0.856109274,-46.65066771
2839,0.130589067,-0.938615305,0.095328307,0.297158894,-0.1065132,0.537043348,0.088431632,-0.384226599,-0.524055234,0.642731115,0.427329345,0.530322902,-0.563638217,-0.819646848,-0.441897383,-33.3892458
4750,1.883491606,1.680490074,-0.936821847,0.846464207,1.020363499,-0.532888654,2.195121526,-0.587613308,-1.64185156,-1.184009439,1.01771414,1.40496481,-0.027042116,-0.538549996,0.708606913,110.8729847
4780,0.109559652,0.11293482,0.519551329,-0.196442889,0.21182325,1.124958054,-0.737209901,-0.146671794,-0.141487441,-0.322174668,-1.387718814,1.55291197,-1.455317968,0.471746943,0.517822376,112.0898188
589,2.072815072,-0.636552268,-0.472709668,0.696828242,1.798386638,0.214889677,-0.10772848,-0.385704517,0.97785347,0.609416591,1.533560824,0.494073022,-0.299123633,0.258706832,-0.63346343,192.3480904
3957,0.748593393,-1.60771598,0.290393508,1.588175553,-1.571500044,-1.393196007,-0.160779491,-0.650713677,-0.372822251,0.655601719,-0.968594001,-3.122690701,-0.181266861,0.986205638,-0.445734184,-474.303544
4448,0.736938771,0.734130082,0.584034993,-0.648219743,-0.958784169,2.241856485,0.51346011,0.115485861,-0.490071507,0.81419285,-0.270545278,-1.44658994,1.399473971,-0.372458615,0.206859609,381.6493572
3460,0.727930772,-0.280523155,-1.814181809,0.652052934,-0.345718928,0.437056528,-1.26828466,0.486847438,0.997391794,-2.427522878,-1.747478297,0.249231239,-2.080322283,-2.009001831,-0.565264221,-415.1134556
889,0.361566879,-0.402053758,-1.917643306,0.206014539,1.152517875,-0.749810093,0.536613864,0.698446643,0.945110569,0.726675641,-1.266101898,-0.837092324,1.877854738,0.366181706,-0.534625448,36.50724997
1341,2.42064658,-1.262767885,-2.186105408,-1.811907373,-0.650512715,-0.229694011,0.62437537,-1.616143506,-0.072242395,0.20988056,-0.41568366,0.973239604,1.687696092,0.333808871,-2.449944086,-41.8817963
3914,-0.331421334,-0.8995202,0.562768981,-0.323910916,0.487623821,-0.82421448,0.86949453,-0.068843657,-0.114652726,0.776676385,-0.908777996,0.461653909,1.245778343,-0.764991899,-0.898572141,56.93653686
2634,0.698653486,0.668255909,-0.940339502,-0.615518894,0.677783912,-0.479968154,-0.001567305,0.840574739,-0.762246563,-0.064770493,-1.803059514,-2.79991888,1.444192051,-1.428886493,-0.314303521,-149.935771
3641,-1.295072028,1.561807948,-0.600223626,-0.008467005,-0.098272134,0.4777836,-0.406105497,-0.972088857,-0.505723108,-0.471942336,-0.376005971,0.265329463,-1.549046754,-0.731940658,1.391321158,-87.41378977
4957,0.878321247,-2.673423097,-1.608011885,0.656891733,-0.11771255,0.643508909,-2.756040452,-2.260687401,0.371552792,-1.347530881,0.03882126,-0.659189868,-0.587064708,-0.828546668,-0.54821094,-500.4157871
1431,-1.759290702,-0.847319293,0.46568204,-1.394697732,-0.655963125,-0.041164709,-0.198076311,2.007421688,0.192039669,-0.310584399,-1.771684258,1.979585213,-0.373002823,-2.33868488,0.106294835,-66.08730052
4602,1.424883575,0.963649877,0.27519626,1.611077025,0.923075647,-0.260538862,1.8946989,1.429894974,0.458845523,0.884324791,-1.481968006,-0.301645859,1.288875313,-1.46088512,0.523271029,454.0764221
1660,0.720616554,-0.958323524,0.675665026,-0.243986965,-0.360103966,-1.45374938,1.402847372,0.44379957,0.147700745,-0.412153759,-1.798910927,-2.40023257,0.439254174,0.681421821,1.948470573,-270.161477
2237,-0.925150067,-1.152876709,0.141877821,0.377151997,1.734534796,-0.194820603,0.848349934,-1.703418794,0.256592485,0.653491989,-2.34166557,-0.711373225,-0.859139495,-0.43790383,0.738744286,-186.4034846
4395,-0.994679931,-0.914219864,0.142486216,0.033817675,-1.160610253,2.130851005,0.863236465,-0.901343729,-1.137282932,-0.654306819,-0.773014939,-1.386991474,0.338304065,1.030187355,0.430917451,-176.9317545
734,1.192448895,0.94829015,-1.761647106,-2.414347982,-0.74684941,-1.515390683,-1.935282633,0.802261129,0.065220235,0.094311621,0.840665577,-0.28603847,-1.548371924,-0.059403098,-0.000894301,-319.2510397
4706,-0.088538435,0.598846732,-1.276692299,0.653027166,-0.044042648,0.086520842,-0.641390009,-0.65152728,0.376437072,-0.566802173,1.15738801,0.375512347,0.785416586,-1.606809806,-0.469789193,50.68495244
3857,-1.349863372,-0.820704899,-0.029681284,-1.12252074,2.052436294,2.663360679,0.23820779,-1.629236249,0.544927047,-0.164793758,1.466374105,1.712845254,1.569674292,0.750211926,-0.701555819,376.4641689
3054,0.767139293,0.363642443,0.928721025,-0.023912076,0.186166212,1.017695958,0.075886941,-0.544278338,0.450893639,0.687581857,0.068703458,-1.468368551,-0.566026107,1.022453905,-1.217574159,111.227203
3774,-2.565721874,1.066490594,-0.521224489,0.418797983,-1.273426559,0.391984838,-0.36026113,-0.213444677,1.037793899,0.095091254,1.051143285,-0.575714033,-0.464034271,-1.347133498,-0.247173004,-73.64243329
424,-0.763919519,1.194246955,0.482249768,-1.427695917,-1.178980935,1.745165319,0.073011865,0.566600152,0.180846067,0.649599083,0.301547165,-1.558396746,0.180099906,-0.172582892,-0.438631558,160.3598832
1958,0.553537097,0.074203484,2.139031208,0.570276037,-0.415367039,-0.386962086,0.678421009,0.377846319,0.587516284,-0.37021737,-1.079141224,1.108947456,-0.109826403,0.494230122,0.840131942,268.960187
2460,0.008619753,1.341932675,0.068100784,-0.004177924,-0.350332023,0.948002149,-0.573552699,-0.195774669,-0.134396079,1.08702923,0.286980446,0.64970603,0.917495282,2.263784854,-1.571895893,398.4122715
2767,0.687740658,-0.19260044,-0.222143673,-0.64190233,0.639242081,0.928395559,-0.251811287,-0.331676007,-1.518127804,-0.33991836,1.804813091,0.353899549,0.587203913,0.109150905,1.432605767,77.79539584
3781,-0.029012341,0.509862587,0.526908581,-1.099656347,-0.191465246,-2.34988204,-0.797671438,0.839573171,0.5754704,-1.199790176,-2.02075781,0.84733706,-0.167733977,1.978669008,1.832490478,-104.0560712
2715,-0.097034538,0.637142991,-0.411123856,-1.224597226,-0.903942563,-0.256189851,-1.702008776,-0.606381361,0.321431616,1.704113929,-0.534738545,-2.050292685,0.922476815,-0.341208636,0.031751495,54.06201756
382,-0.044433765,-1.151096725,1.516697271,-0.303436075,-1.350207319,0.334285833,-0.492976381,-2.109077715,0.44568408,-0.083433178,0.733192536,-0.574363947,-0.199392573,2.276650272,-0.892789803,-99.03631472
1780,-0.845283041,-0.204211242,0.695089968,-1.334312886,0.373228384,1.801297193,0.333293986,2.27046206,0.416597365,-2.570859301,-0.931548256,-1.102222658,0.794462519,-1.007724203,2.323467935,-13.95229429
3961,1.448173778,-0.367000201,1.089820379,-1.035778956,1.856253641,1.119945653,1.036655927,-0.448659365,-0.47179001,0.262066156,-1.265064424,-0.571226188,0.944392651,-0.225591047,0.815871106,287.3973343
393,0.884232811,1.240933459,-0.374294821,-0.118281804,-0.087498441,-0.533203141,-1.37219567,0.557974593,-2.248650535,-1.186780477,2.778519336,0.162873674,0.059736401,2.7499153,-0.265674877,-142.4880201
4296,-0.911144291,1.717545865,-1.99606594,1.525407749,-0.172984986,1.420660336,-0.936531493,-0.356412645,0.507229638,0.156383262,-2.314097034,0.32715248,-1.148657175,-0.66969556,1.059241211,124.9698272
2612,-0.169416024,0.217778519,-0.03681182,1.18993887,0.152008964,0.658067355,0.097108622,-0.331786387,1.87968264,1.081366321,-0.321161251,-0.139797122,0.716153668,-0.656828497,0.504803646,383.8969761
4281,-0.984541811,-2.139337266,0.510418653,1.787662012,0.536770877,1.704770242,0.889479845,-0.175575068,-0.383553053,0.631276276,0.01921626,0.414197031,-0.624841431,-1.680348446,0.677870097,-11.03109584
3160,0.065090923,1.305514564,0.722476993,0.855094955,-0.188571586,-0.373026796,0.514016126,-0.978653051,0.876719049,-0.034512424,0.47931222,1.916848853,0.274531156,0.148191,0.227047999,404.6103117
1358,-0.278695586,0.940177285,-0.200837041,-0.095537817,0.174857424,0.169097759,0.536196061,-1.040000283,1.914834102,0.421395986,-0.223918066,-0.969176123,-0.160972309,-0.332511748,-1.74562376,91.29923697
1104,-0.38379683,-0.70983121,1.270250537,1.185871561,0.046127906,0.568262528,-0.15317868,0.848657137,-1.110484271,-0.728732083,1.602283527,-0.399095329,-0.131422556,1.548749501,-0.433283067,-116.0852144
3440,2.100229738,0.138377111,-0.891788078,-0.051825765,-0.806152392,-1.765763467,2.084910978,0.498099381,0.21179489,0.4639431,-0.520722623,-0.445134987,-0.537063991,0.383762451,0.910696169,-111.6542529
4081,0.113859544,-0.08028272,-0.885085632,0.520470752,2.242334659,-1.308571639,1.360490807,1.422966752,1.947428109,1.507934813,1.084294962,-1.797658247,-1.587691503,-0.618193193,-2.025482584,-212.6385082
4540,0.377289785,-0.736455662,-1.008260222,-0.210227434,-0.386848237,-0.484673927,0.289248834,-0.245132165,-1.162919672,0.105126312,0.68607636,-0.745231596,-1.149843378,2.077264231,-1.235306563,-453.7112971
4636,1.273086995,-0.067267684,0.246634229,-0.320017672,1.337158462,0.227102358,0.656042794,0.354899887,0.492158139,0.389677374,-0.778553956,2.432004168,0.098902395,1.407546334,1.234693876,430.3880575
2115,-1.319249102,0.854662714,0.400783607,-1.226174725,-1.46659337,-0.048222462,1.844266147,-2.032597199,0.191808754,0.054914828,0.031377675,0.574825328,0.665880625,0.264033758,-0.324422857,91.70838693
3321,-0.680100781,-1.483502706,-0.77679782,-0.683443341,1.068601967,-0.301141803,-0.596388422,-1.030832282,0.950320549,-1.454521878,-0.600220907,-0.361498598,-0.483745343,0.729710262,1.054712317,-378.5837767
837,0.320937654,1.309152123,0.817063196,-1.204747099,0.077338621,0.843329262,1.632750474,0.400640323,-1.540518196,-0.388209771,0.061910085,1.013183501,-0.176735137,-0.376975808,0.634155316,204.8325497
4361,0.141246839,-1.925704305,-0.769708259,0.585334862,-1.971432422,-0.346779143,-0.710886248,0.353784857,-1.138153137,-0.035113045,1.243829392,-0.616465107,0.601680264,0.462585646,-1.340631736,-400.9153106
2367,1.001308552,1.314247667,2.49573228,-0.688906256,0.637089261,-0.472931593,-0.044506658,1.787386219,-0.038725565,0.643822448,0.254484769,-0.07428908,-0.001267957,-0.944819127,-0.391482196,364.2976593
